date,month,year,region,product_category,sales,units_sold,price,temperature_f,marketing_spend,website_visitors,conversion_rate,customer_satisfaction,inventory_level,returns
2024-01-01,1,2024,North,Electronics,12500,125,89.99,28,3200,15000,2.1,4.2,850,12
2024-01-01,1,2024,South,Electronics,15800,158,109.50,55,4100,18500,2.4,4.5,920,8
2024-01-01,1,2024,East,Electronics,11200,112,78.25,32,2800,12000,1.9,4.1,780,15
2024-01-01,1,2024,West,Electronics,18900,189,124.99,48,5200,22000,2.8,4.6,1100,6
2024-01-01,1,2024,North,Clothing,8500,340,19.99,28,2100,9800,3.5,4.3,2200,25
2024-01-01,1,2024,South,Clothing,9200,368,29.50,55,2400,11000,3.8,4.4,2450,18
2024-01-01,1,2024,East,Clothing,7800,312,22.75,32,1900,8500,3.2,4.0,1980,30
2024-01-01,1,2024,West,Clothing,10500,420,34.99,48,2900,12500,4.1,4.5,2800,15
2024-02-01,2,2024,North,Electronics,13200,132,94.50,31,3400,16200,2.2,4.3,820,10
2024-02-01,2,2024,South,Electronics,16500,165,115.00,58,4300,19200,2.5,4.5,890,7
2024-02-01,2,2024,East,Electronics,11800,118,82.99,35,2900,12800,2.0,4.2,750,13
2024-02-01,2,2024,West,Electronics,19800,198,129.75,52,5400,23500,2.9,4.7,1050,5
2024-02-01,2,2024,North,Clothing,7200,288,17.50,31,1800,8200,2.9,4.1,2400,28
2024-02-01,2,2024,South,Clothing,8100,324,26.99,58,2100,9500,3.2,4.3,2600,20
2024-02-01,2,2024,East,Clothing,6500,260,21.25,35,1600,7200,2.8,3.9,2150,32
2024-02-01,2,2024,West,Clothing,9200,368,31.50,52,2600,11000,3.6,4.4,2950,17
2024-03-01,3,2024,North,Electronics,14800,148,99.99,42,3800,18500,2.4,4.4,780,9
2024-03-01,3,2024,South,Electronics,17200,172,119.25,65,4500,20500,2.6,4.6,850,6
2024-03-01,3,2024,East,Electronics,13100,131,87.50,45,3200,14500,2.2,4.3,720,11
2024-03-01,3,2024,West,Electronics,21500,215,134.99,58,5800,25800,3.1,4.8,980,4
2024-03-01,3,2024,North,Clothing,9800,392,24.99,42,2500,11500,4.0,4.4,2100,22
2024-03-01,3,2024,South,Clothing,10500,420,32.75,65,2800,12800,4.2,4.5,2300,16
2024-03-01,3,2024,East,Clothing,8900,356,23.50,45,2200,10200,3.7,4.2,1850,26
2024-03-01,3,2024,West,Clothing,12200,488,37.99,58,3200,14500,4.5,4.6,2650,12
2024-04-01,4,2024,North,Electronics,15500,155,104.25,55,4000,19800,2.5,4.5,740,8
2024-04-01,4,2024,South,Electronics,18100,181,122.50,72,4800,21800,2.7,4.6,810,5
2024-04-01,4,2024,East,Electronics,14200,142,91.99,58,3500,16200,2.4,4.4,680,10
2024-04-01,4,2024,West,Electronics,22800,228,139.00,65,6100,27500,3.2,4.8,920,3
2024-04-01,4,2024,North,Clothing,11500,460,27.25,55,2900,13500,4.5,4.5,1900,18
2024-04-01,4,2024,South,Clothing,12200,488,35.50,72,3100,14800,4.8,4.6,2100,14
2024-04-01,4,2024,East,Clothing,10200,408,25.99,58,2600,12000,4.2,4.3,1700,22
2024-04-01,4,2024,West,Clothing,14500,580,41.25,65,3600,17200,5.0,4.7,2400,10
2024-05-01,5,2024,North,Electronics,16200,162,108.75,68,4200,21000,2.6,4.5,700,7
2024-05-01,5,2024,South,Electronics,19500,195,127.99,82,5100,23500,2.8,4.7,760,4
2024-05-01,5,2024,East,Electronics,15100,151,95.25,70,3700,17500,2.5,4.4,640,9
2024-05-01,5,2024,West,Electronics,24200,242,144.50,75,6500,29800,3.4,4.9,870,2
2024-05-01,5,2024,North,Clothing,13200,528,29.99,68,3300,15500,5.0,4.6,1750,15
2024-05-01,5,2024,South,Clothing,14100,564,38.25,82,3500,17000,5.2,4.7,1950,11
2024-05-01,5,2024,East,Clothing,11800,472,27.50,70,3000,14000,4.8,4.4,1550,19
2024-05-01,5,2024,West,Clothing,16500,660,44.99,75,4100,19800,5.5,4.8,2200,8
2024-06-01,6,2024,North,Electronics,17500,175,112.50,78,4500,22500,2.7,4.6,660,6
2024-06-01,6,2024,South,Electronics,21200,212,132.25,88,5500,25800,2.9,4.7,720,3
2024-06-01,6,2024,East,Electronics,16400,164,99.99,80,4000,19200,2.6,4.5,600,8
2024-06-01,6,2024,West,Electronics,26500,265,149.99,82,7000,32500,3.6,4.9,820,2
2024-06-01,6,2024,North,Clothing,14800,592,32.50,78,3700,17500,5.4,4.7,1600,12
2024-06-01,6,2024,South,Clothing,15900,636,41.75,88,4000,19200,5.6,4.8,1800,9
2024-06-01,6,2024,East,Clothing,13200,528,29.25,80,3400,15800,5.1,4.5,1400,16
2024-06-01,6,2024,West,Clothing,18500,740,47.99,82,4600,22000,5.9,4.9,2050,6
